"SN","TN","ti","Hand","Block","CN"
1,1,315,2.025694378,"NoFB",1
1,2,75,2.26913121,"NoFB",1
1,3,30,-7.65935204,"NoFB",1
1,4,225,-9.922616665,"NoFB",1
1,5,150,-2.505666282,"NoFB",1
1,6,90,-1.923389178,"NoFB",1
1,7,240,-14.54407504,"NoFB",1
1,8,195,-6.93306827,"NoFB",1
1,9,105,0.255118703,"NoFB",1
1,10,60,-3.988169828,"NoFB",1
1,11,300,4.183040079,"NoFB",1
1,12,270,-7.845679971,"NoFB",1
1,13,210,-9.247988791,"NoFB",1
1,14,0,0.69586594,"NoFB",1
1,15,330,-5.43331401,"NoFB",1
1,16,15,0.237740548,"NoFB",1
1,17,45,0.960174567,"NoFB",1
1,18,255,-16.54798964,"NoFB",1
1,19,345,-5.772254682,"NoFB",1
1,20,180,-6.641519138,"NoFB",1
1,21,120,6.630000459,"NoFB",1
1,22,285,6.566752316,"NoFB",1
1,23,135,8.75916925,"NoFB",1
1,24,165,-2.15242174,"NoFB",1
1,25,105,3.077970392,"NoFB",2
1,26,225,-11.61148642,"NoFB",2
1,27,135,10.159056,"NoFB",2
1,28,150,10.77355516,"NoFB",2
1,29,75,3.445424352,"NoFB",2
1,30,300,0.240459534,"NoFB",2
1,31,120,17.19057386,"NoFB",2
1,32,195,-3.823416656,"NoFB",2
1,33,255,-8.170127635,"NoFB",2
1,34,45,-4.420557291,"NoFB",2
1,35,240,-7.211520903,"NoFB",2
1,36,330,-4.371452006,"NoFB",2
1,37,315,-2.024765082,"NoFB",2
1,38,345,-10.94788532,"NoFB",2
1,39,60,0.291427811,"NoFB",2
1,40,0,-2.270449671,"NoFB",2
1,41,180,-4.864514438,"NoFB",2
1,42,90,9.946987937,"NoFB",2
1,43,30,2.005383208,"NoFB",2
1,44,15,-1.366886411,"NoFB",2
1,45,270,1.392331617,"NoFB",2
1,46,285,0.544919341,"NoFB",2
1,47,165,3.643972782,"NoFB",2
1,48,210,-7.946663458,"NoFB",2
1,49,90,0.704420811,"NoFB",3
1,50,285,1.945323377,"NoFB",3
1,51,300,-1.006240954,"NoFB",3
1,52,75,1.785341414,"NoFB",3
1,53,165,5.409571176,"NoFB",3
1,54,345,-8.514556683,"NoFB",3
1,55,195,-3.591281797,"NoFB",3
1,56,315,-3.077455399,"NoFB",3
1,57,30,-0.642246457,"NoFB",3
1,58,135,12.94985447,"NoFB",3
1,59,105,9.748120632,"NoFB",3
1,60,210,-3.889667685,"NoFB",3
1,61,270,-0.194222237,"NoFB",3
1,62,150,2.115509647,"NoFB",3
1,63,60,-3.873315663,"NoFB",3
1,64,45,-3.628532155,"NoFB",3
1,65,225,-7.190100508,"NoFB",3
1,66,0,-0.239729896,"NoFB",3
1,67,180,0.600982639,"NoFB",3
1,68,15,-0.389093962,"NoFB",3
1,69,330,-11.14936118,"NoFB",3
1,70,240,-10.46222749,"NoFB",3
1,71,255,-4.093492,"NoFB",3
1,72,120,19.25157785,"NoFB",3
1,73,285,3.029560921,"NoFB",4
1,74,270,-3.118089002,"NoFB",4
1,75,345,1.31774184,"NoFB",4
1,76,60,3.788621982,"NoFB",4
1,77,15,3.356782733,"NoFB",4
1,78,75,3.94358702,"NoFB",4
1,79,195,-3.690067526,"NoFB",4
1,80,45,-3.289242678,"NoFB",4
1,81,120,15.91910478,"NoFB",4
1,82,240,-4.263579698,"NoFB",4
1,83,105,14.46644828,"NoFB",4
1,84,300,2.050145527,"NoFB",4
1,85,165,3.366366001,"NoFB",4
1,86,255,-9.209274726,"NoFB",4
1,87,150,6.529006882,"NoFB",4
1,88,90,0.41368075,"NoFB",4
1,89,225,-1.58624696,"NoFB",4
1,90,210,-3.526329574,"NoFB",4
1,91,315,-0.976538036,"NoFB",4
1,92,0,-4.995674242,"NoFB",4
1,93,135,13.26648085,"NoFB",4
1,94,180,1.000697878,"NoFB",4
1,95,30,4.411143384,"NoFB",4
1,96,330,-1.480585886,"NoFB",4
1,97,30,5.897377512,"FB",5
1,98,330,-0.219697329,"FB",5
1,99,225,-13.29218427,"FB",5
1,100,270,2.053550564,"FB",5
1,101,60,5.641078965,"FB",5
1,102,120,2.515481728,"FB",5
1,103,240,-10.55875881,"FB",5
1,104,150,4.7103399,"FB",5
1,105,90,0.194222237,"FB",5
1,106,45,-1.292166886,"FB",5
1,107,345,-3.225075111,"FB",5
1,108,210,-2.957495046,"FB",5
1,109,15,0.4424466,"FB",5
1,110,105,1.63880567,"FB",5
1,111,300,3.04812487,"FB",5
1,112,0,0.991177575,"FB",5
1,113,135,1.726199649,"FB",5
1,114,165,-3.369317947,"FB",5
1,115,180,3.589496741,"FB",5
1,116,195,-1.561811842,"FB",5
1,117,75,-3.597720486,"FB",5
1,118,285,2.296771815,"FB",5
1,119,255,-5.274380404,"FB",5
1,120,315,-1.80290383,"FB",5
1,121,30,-1.998365187,"FB",6
1,122,90,3.560480535,"FB",6
1,123,0,0.707319369,"FB",6
1,124,225,-3.122130462,"FB",6
1,125,285,1.737327166,"FB",6
1,126,210,-3.755630807,"FB",6
1,127,180,-1.136671878,"FB",6
1,128,120,5.867105888,"FB",6
1,129,195,-4.499679682,"FB",6
1,130,330,-1.079039635,"FB",6
1,131,105,-4.298649276,"FB",6
1,132,150,0.474012689,"FB",6
1,133,345,-7.211830686,"FB",6
1,134,270,1.874465563,"FB",6
1,135,255,0.068582822,"FB",6
1,136,315,5.376705428,"FB",6
1,137,45,1.671285975,"FB",6
1,138,135,1.856818845,"FB",6
1,139,60,-3.984191121,"FB",6
1,140,300,1.827446577,"FB",6
1,141,75,-0.465693624,"FB",6
1,142,240,4.24472924,"FB",6
1,143,165,0.280340283,"FB",6
1,144,15,3.434948823,"FB",6
1,145,105,4.267457701,"FB",7
1,146,15,2.016720858,"FB",7
1,147,300,1.544157021,"FB",7
1,148,225,-1.735704589,"FB",7
1,149,45,-1.538919424,"FB",7
1,150,315,1.963657534,"FB",7
1,151,60,2.845304671,"FB",7
1,152,30,-4.481765177,"FB",7
1,153,75,-0.914120915,"FB",7
1,154,270,5.733374758,"FB",7
1,155,180,1.91713457,"FB",7
1,156,210,-3.531732142,"FB",7
1,157,255,-6.752729991,"FB",7
1,158,0,-1.629927885,"FB",7
1,159,285,4.122215286,"FB",7
1,160,90,2.762128313,"FB",7
1,161,165,2.366638065,"FB",7
1,162,150,0.335665669,"FB",7
1,163,240,-2.656179489,"FB",7
1,164,195,-0.535829206,"FB",7
1,165,120,-0.109575122,"FB",7
1,166,330,-7.084487577,"FB",7
1,167,135,0.784824603,"FB",7
1,168,345,-3.311200032,"FB",7
1,169,75,-0.740664533,"FB",8
1,170,90,-0.243810356,"FB",8
1,171,15,4.249525873,"FB",8
1,172,315,2.916031425,"FB",8
1,173,105,2.402704131,"FB",8
1,174,255,-0.034520012,"FB",8
1,175,225,2.29e-14,"FB",8
1,176,30,2.389457996,"FB",8
1,177,195,-0.083199092,"FB",8
1,178,45,-2.683775159,"FB",8
1,179,270,-0.198942879,"FB",8
1,180,165,0.66456458,"FB",8
1,181,180,3.235892509,"FB",8
1,182,0,-1.377037194,"FB",8
1,183,285,1.004040486,"FB",8
1,184,150,5.127488693,"FB",8
1,185,120,-3.60752595,"FB",8
1,186,240,-1.498549148,"FB",8
1,187,135,-0.59993388,"FB",8
1,188,210,1.706850786,"FB",8
1,189,345,3.088784568,"FB",8
1,190,300,-1.499422516,"FB",8
1,191,60,1.966148109,"FB",8
1,192,330,4.331874055,"FB",8
2,1,0,6.641519138,"NoFB",1
2,2,210,3.157923885,"NoFB",1
2,3,150,12.82817757,"NoFB",1
2,4,240,-12.60639303,"NoFB",1
2,5,225,-6.265539307,"NoFB",1
2,6,255,-3.741340445,"NoFB",1
2,7,15,9.863696572,"NoFB",1
2,8,135,12.30053888,"NoFB",1
2,9,60,-1.31354327,"NoFB",1
2,10,195,4.417065986,"NoFB",1
2,11,270,1.821513352,"NoFB",1
2,12,300,20.51797811,"NoFB",1
2,13,330,-0.478584469,"NoFB",1
2,14,285,7.315588576,"NoFB",1
2,15,30,-0.28083494,"NoFB",1
2,16,120,12.02016951,"NoFB",1
2,17,165,-3.702060079,"NoFB",1
2,18,45,-9.609738125,"NoFB",1
2,19,90,2.329391531,"NoFB",1
2,20,180,3.235015058,"NoFB",1
2,21,75,-26.31937783,"NoFB",1
2,22,315,4.553767979,"NoFB",1
2,23,345,-3.366982331,"NoFB",1
2,24,105,19.13037225,"NoFB",1
2,25,285,17.51973431,"NoFB",2
2,26,225,-7.190100508,"NoFB",2
2,27,105,15.50708617,"NoFB",2
2,28,135,14.62087399,"NoFB",2
2,29,30,-1.747163748,"NoFB",2
2,30,120,22.19623543,"NoFB",2
2,31,60,-16.92749589,"NoFB",2
2,32,180,-8.330536547,"NoFB",2
2,33,255,-7.668863607,"NoFB",2
2,34,315,4.996760665,"NoFB",2
2,35,330,3.612885454,"NoFB",2
2,36,300,5.753887254,"NoFB",2
2,37,240,-5.4919144,"NoFB",2
2,38,0,-0.209873712,"NoFB",2
2,39,150,14.02127322,"NoFB",2
2,40,75,-5.032914489,"NoFB",2
2,41,210,7.303948278,"NoFB",2
2,42,45,-12.56534838,"NoFB",2
2,43,90,7.714227394,"NoFB",2
2,44,345,-8.006231305,"NoFB",2
2,45,195,5.155217087,"NoFB",2
2,46,165,11.0468205,"NoFB",2
2,47,270,4.5209579,"NoFB",2
2,48,15,-7.811462857,"NoFB",2
2,49,45,-4.398705355,"NoFB",3
2,50,270,0.704420811,"NoFB",3
2,51,105,14.11389602,"NoFB",3
2,52,60,-12.12323493,"NoFB",3
2,53,240,-6.173629046,"NoFB",3
2,54,150,8.947254787,"NoFB",3
2,55,180,1.301952673,"NoFB",3
2,56,210,5.643292012,"NoFB",3
2,57,255,1.9037178,"NoFB",3
2,58,0,0.240737153,"NoFB",3
2,59,120,17.97600049,"NoFB",3
2,60,330,-11.25383795,"NoFB",3
2,61,30,-9.705035647,"NoFB",3
2,62,90,9.759381268,"NoFB",3
2,63,315,10.41475876,"NoFB",3
2,64,285,4.536654938,"NoFB",3
2,65,135,12.86710414,"NoFB",3
2,66,345,-2.161918803,"NoFB",3
2,67,300,0.360665338,"NoFB",3
2,68,75,0.699722551,"NoFB",3
