SN,TN,ti,Hand,Block,CN
1,1,135,7.45705514,NoFB,1
1,2,270,8.047105146,NoFB,1
1,3,0,-1.206048779,NoFB,1
1,4,225,-12.9326084,NoFB,1
1,5,315,19.8642974,NoFB,1
1,6,90,7.253194613,NoFB,1
1,7,45,-4.292602181,NoFB,1
1,8,180,-0.452921629,NoFB,1
1,9,225,-5.847255441,NoFB,2
1,10,315,15.2551187,NoFB,2
1,11,180,0.605214597,NoFB,2
1,12,135,6.968256741,NoFB,2
1,13,90,6.762389675,NoFB,2
1,14,270,-1.123302714,NoFB,2
1,15,45,-13.287064,NoFB,2
1,16,0,-2.121096397,NoFB,2
1,17,135,7.507346667,NoFB,3
1,18,270,5.942473246,NoFB,3
1,19,225,-10.40151315,NoFB,3
1,20,0,-1.114563272,NoFB,3
1,21,45,-14.7910849,NoFB,3
1,22,315,11.37710217,NoFB,3
1,23,180,3.104525909,NoFB,3
1,24,90,2.526116912,NoFB,3
1,25,45,-2.302878946,NoFB,4
1,26,90,0.22468818,NoFB,4
1,27,225,-7.159080423,NoFB,4
1,28,180,-4.462818472,NoFB,4
1,29,0,-0.663628,NoFB,4
1,30,315,15.23044352,NoFB,4
1,31,270,7.270068645,NoFB,4
1,32,135,6.562698509,NoFB,4
1,33,45,-3.586053761,NoFB,5
1,34,225,-18.55023193,NoFB,5
1,35,180,0.974324091,NoFB,5
1,36,0,-5.561828466,NoFB,5
1,37,270,-0.201744869,NoFB,5
1,38,315,19.85521437,NoFB,5
1,39,90,2.37769766,NoFB,5
1,40,135,8.130102354,NoFB,5
1,41,270,6.46298577,FB,6
1,42,180,-4.997942094,FB,6
1,43,225,-5.08622171,FB,6
1,44,315,16.36784561,FB,6
1,45,135,23.76259966,FB,6
1,46,90,5.670357344,FB,6
1,47,0,-2.394247766,FB,6
1,48,45,-5.65948184,FB,6
1,49,270,6.159163029,FB,7
1,50,0,0.792970536,FB,7
1,51,45,-1.204238429,FB,7
1,52,180,0.722177462,FB,7
1,53,135,13.86546669,FB,7
1,54,315,14.46117347,FB,7
1,55,225,-12.06130946,FB,7
1,56,90,5.08410341,FB,7
1,57,180,1.421943658,FB,8
1,58,315,5.82634203,FB,8
1,59,45,-4.322277059,FB,8
1,60,0,-3.576334375,FB,8
1,61,90,-4.780883875,FB,8
1,62,225,-7.458698171,FB,8
1,63,135,9.293308599,FB,8
1,64,270,2.462816676,FB,8
1,65,180,-0.419741791,FB,9
1,66,0,-1.049255941,FB,9
1,67,315,8.668269427,FB,9
1,68,45,-7.933884698,FB,9
1,69,135,7.107774165,FB,9
1,70,225,-4.2678933,FB,9
1,71,270,1.236407603,FB,9
1,72,90,6.292365564,FB,9
1,73,0,-3.025011908,FB,10
1,74,180,2.94644738,FB,10
1,75,315,-0.740214365,FB,10
1,76,270,5.019853642,FB,10
1,77,225,-11.74563343,FB,10
1,78,135,5.070519543,FB,10
1,79,90,4.476658748,FB,10
1,80,45,-1.03E-14,FB,10
2,1,90,-5.03678271,NoFB,1
2,2,225,-9.329539643,NoFB,1
2,3,315,14.49386776,NoFB,1
2,4,0,-4.252085824,NoFB,1
2,5,45,-5.11731485,NoFB,1
2,6,180,1.621145914,NoFB,1
2,7,270,-1.045427391,NoFB,1
2,8,135,7.898136903,NoFB,1
2,9,0,-0.194222237,NoFB,2
2,10,45,-0.626158454,NoFB,2
2,11,135,10.25681984,NoFB,2
2,12,90,-0.251295667,NoFB,2
2,13,270,2.834111016,NoFB,2
2,14,315,11.30993247,NoFB,2
2,15,180,4.553767979,NoFB,2
2,16,225,-2.696147385,NoFB,2
2,17,270,-4.159642294,NoFB,3
2,18,225,-13.7908669,NoFB,3
2,19,135,15.88142595,NoFB,3
2,20,0,2.567597329,NoFB,3
2,21,90,3.915278478,NoFB,3
2,22,180,3.507994976,NoFB,3
2,23,315,6.407440283,NoFB,3
2,24,45,-3.957553114,NoFB,3
2,25,225,-12.94464229,NoFB,4
2,26,180,2.426335832,NoFB,4
2,27,270,-9.419500258,NoFB,4
2,28,0,6.777948734,NoFB,4
2,29,45,-2.060111024,NoFB,4
2,30,135,19.56937045,NoFB,4
2,31,90,5.885987833,NoFB,4
2,32,315,3.65222278,NoFB,4
2,33,270,1.053112632,NoFB,5
